month,date,open,high,low,close,volume,shares_bought,total_shares,total_invested,portfolio_value
1995-05,1995-05-02,576.69,580.28,574.9,579.04,80734300,1.7269964078474718,155.00877392704078,54000,89756.28045471369
1995-06,1995-06-01,703.72,708.67,702.08,708.67,90697400,1.4110940211946323,156.4198679482354,55000,110850.06781887598
1995-07,1995-07-03,623.14,623.19,612.92,613.18,126025600,1.6308424932320038,158.0507104414674,56000,96913.53462849898
1995-08,1995-08-01,697.22,718.24,688.65,715.4,319420100,1.397819401733296,159.4485298432007,57000,114069.47824982578
1995-09,1995-09-01,726.05,728.85,720.99,728.84,203653300,1.3720432468031392,160.82057309000385,58000,117212.4664909184
1995-10,1995-10-04,724.04,725.2,716.07,717.79,122204500,1.3931651318630798,162.21373822186692,59000,116435.39915827385
1995-11,1995-11-01,716.46,727.5,712.27,723.39,303568700,1.382380182197708,163.59611840406464,60000,118343.79609231632
1995-12,1995-12-01,631.55,639.49,624.93,633.81,92195100,1.577759896498951,165.1738783005636,61000,104688.8558056802
1996-01,1996-01-02,550.26,550.26,537.38,537.87,48247800,1.8591853049993492,167.03306360556294,62000,89842.07392152415
1996-02,1996-02-01,536.24,537.17,532.61,536.68,96221700,1.8633077439069838,168.89637134946992,63000,90643.3045758335
1996-03,1996-03-04,583.38,601.98,572.91,601.98,448092300,1.66118475696867,170.5575561064386,64000,102672.23762495391
1996-04,1996-04-01,566.21,573.95,561.95,566.19,137165400,1.7661915611367207,172.3237476675753,65000,97567.98269190447
1996-05,1996-05-02,715.97,721.66,652.76,654.43,517900100,1.5280473083446664,173.85179497591997,66000,113773.8301860913
1996-06,1996-06-03,643.955,652.519,636.457,641.092,323304400,1.5598385255158387,175.4116335014358,67000,112454.99494470248
1996-07,1996-07-01,800.909,801.05,755.322,761.115,602765200,1.3138618999756935,176.7254954014115,68000,134508.4254324453
1996-08,1996-08-01,823.172,843.014,814.886,835.105,371330400,1.1974542123445555,177.92294961375606,69000,148584.34483719576
